$C$	$d=0.1$	$d=0.3$	$d=0.5$	$d=0.7$	$d=0.9$
1365000000	1.94405(92)	0.55187(47)	0.26181(23)	0.11930(11)	0.03583(13)
1370000000	1.94405(93)	0.55186(47)	0.26182(23)	0.11929(11)	0.03583(13)
1375000000	1.94409(97)	0.55188(48)	0.26182(23)	0.11929(11)	0.03583(13)
1380000000	1.94406(98)	0.55187(48)	0.26183(22)	0.11929(12)	0.03583(13)
1385000000	1.9440(11)	0.55190(48)	0.26183(22)	0.11930(12)	0.03584(13)
1390000000	1.9439(11)	0.55189(47)	0.26184(22)	0.11930(12)	0.03584(13)
1395000000	1.9440(11)	0.55190(48)	0.26184(22)	0.11930(12)	0.03584(13)
1400000000	1.9441(11)	0.55188(48)	0.26183(22)	0.11930(11)	0.03584(13)
1405000000	1.9440(11)	0.55185(47)	0.26183(22)	0.11930(11)	0.03584(13)
1410000000	1.94409(100)	0.55182(47)	0.26183(22)	0.11930(11)	0.03583(13)
1415000000	1.9441(11)	0.55180(47)	0.26182(23)	0.11930(11)	0.03584(13)
1420000000	1.9441(11)	0.55178(47)	0.26182(23)	0.11929(11)	0.03584(13)
1425000000	1.9440(11)	0.55178(48)	0.26182(22)	0.11930(11)	0.03584(13)
1430000000	1.9441(11)	0.55179(48)	0.26182(23)	0.11930(11)	0.03584(13)
1435000000	1.9440(11)	0.55173(47)	0.26182(24)	0.11929(11)	0.03584(13)
1440000000	1.9440(11)	0.55171(44)	0.26183(24)	0.11930(11)	0.03584(13)
1445000000	1.9439(11)	0.55171(44)	0.26182(23)	0.11930(11)	0.03584(13)
1450000000	1.9439(11)	0.55172(45)	0.26181(23)	0.11930(11)	0.03584(13)
1455000000	1.9438(11)	0.55169(44)	0.26180(23)	0.11930(11)	0.03584(13)
1460000000	1.9439(11)	0.55169(44)	0.26177(24)	0.119314(100)	0.03584(13)
1465000000	1.94389(100)	0.55167(44)	0.26177(24)	0.119318(99)	0.03583(13)
1470000000	1.94377(99)	0.55170(44)	0.26176(24)	0.11932(11)	0.03583(13)
1475000000	1.94378(100)	0.55170(44)	0.26177(25)	0.119318(97)	0.03584(13)
1480000000	1.94390(98)	0.55169(44)	0.26178(25)	0.119311(96)	0.03584(13)
1485000000	1.94392(98)	0.55168(44)	0.26178(24)	0.119307(92)	0.03584(13)
1490000000	1.94384(93)	0.55168(44)	0.26177(24)	0.119309(91)	0.03583(13)
1495000000	1.94376(93)	0.55164(44)	0.26176(24)	0.119307(90)	0.03583(13)
1500000000	1.94374(97)	0.55162(43)	0.26176(24)	0.119305(92)	0.03583(13)
1505000000	1.94365(96)	0.55163(44)	0.26176(24)	0.119296(93)	0.03583(13)
1510000000	1.94370(98)	0.55164(44)	0.26175(24)	0.119289(93)	0.03583(13)
1515000000	1.94361(97)	0.55165(44)	0.26175(24)	0.119294(92)	0.03583(13)
1520000000	1.94357(94)	0.55166(43)	0.26176(24)	0.119297(89)	0.03583(13)
1525000000	1.94363(93)	0.55169(43)	0.26175(23)	0.119305(86)	0.03583(13)
1530000000	1.94369(97)	0.55166(42)	0.26177(24)	0.119303(86)	0.03583(13)
1535000000	1.94375(97)	0.55167(42)	0.26178(24)	0.119307(89)	0.03583(12)
1540000000	1.94377(95)	0.55170(43)	0.26177(24)	0.119311(90)	0.03584(12)
1545000000	1.94382(94)	0.55171(44)	0.26177(25)	0.119309(89)	0.03584(12)
1550000000	1.94380(93)	0.55168(42)	0.26177(25)	0.119323(87)	0.03584(12)
